city,idx,today_o3_average,tomorrow_o3_average
Rezé,4995.0,27.0,32.0
Rennes,3148.0,34.0,31.0
Reims,6806.0,31.0,31.0
Rambouillet,12762.0,29.0,31.0
Quimper,8339.0,36.0,34.0
Puteaux,6937.0,25.0,28.0
Port-de-Bouc,5045.0,18.0,34.0
Pontoise,3104.0,29.0,32.0
Pontivy,,,
Pontarlier,,,
Pont-à-Mousson,6367.0,33.0,32.0
Poitiers,5088.0,32.0,28.0
Poissy,,,
Ploemeur,3149.0,23.0,33.0
Plaisir,,,
Plaisance-du-Touch,,,
Pierrefitte-sur-Seine,3098.0,26.0,29.0
Pessac,5058.0,29.0,31.0
Pertuis,,,
Perpignan,5095.0,25.0,32.0
Périgueux,5066.0,32.0,30.0
Pau,5069.0,22.0,26.0
Paris,5722.0,26.0,29.0
Pantin,5722.0,26.0,29.0
Pamiers,3840.0,,
Palaiseau,,,
Ozoir-la-Ferrière,3093.0,29.0,32.0
Oyonnax,,,
Outreau,6249.0,19.0,29.0
Oullins,3023.0,27.0,19.0
Osny,3104.0,29.0,32.0
Orvault,5004.0,34.0,30.0
Orsay,,,
Orly,3103.0,26.0,29.0
Orléans,6578.0,33.0,32.0
Orange,317.0,9.0,6.0
Olivet,6578.0,33.0,32.0
Octeville,4602.0,27.0,35.0
Noyon,,,
Noisy-le-Sec,3099.0,28.0,31.0
Noisy-le-Grand,3093.0,29.0,32.0
Noisiel,3093.0,29.0,32.0
Nogent-sur-Oise,5171.0,28.0,33.0
Nogent-sur-Marne,3102.0,28.0,31.0
Niort,5077.0,,
Nîmes,5090.0,22.0,28.0
Nice,6886.0,32.0,34.0
Nevers,11945.0,33.0,33.0
Neuilly-sur-Seine,5722.0,26.0,29.0
Neuilly-sur-Marne,3102.0,28.0,31.0
Neuilly-Plaisance,3102.0,28.0,31.0
Narbonne,,,
Nantes,4995.0,27.0,32.0
Nanterre,6937.0,25.0,28.0
Nancy,6363.0,34.0,32.0
Muret,,,
Mulhouse,11230.0,26.0,28.0
Moulins,10065.0,31.0,29.0
Mougins,6896.0,32.0,37.0
Morsang-sur-Orge,,,
Morlaix,,,
Mont-Saint-Aignan,4590.0,30.0,33.0
Montrouge,5722.0,26.0,29.0
Montreuil,3099.0,28.0,31.0
Montpellier,5091.0,20.0,30.0
Montmorency,3098.0,26.0,29.0
Montluçon,10064.0,30.0,27.0
Montivilliers,10945.0,30.0,32.0
Montigny-lès-Metz,7750.0,32.0,30.0
